"","X","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"2133",2210,"03/04/2021",2,0.07,8,2,14,17,15
"4796",5819,"31/08/2021",11,0.83,1,21,38,59,25
"735",773,"02/02/2021",5,0.22,9,9,25,34,5
"3302",3435,"24/05/2021",3,0,4,0,5,5,45
"5699",6747,"09/10/2021",3,0.11,6,14,18,32,6
"435",451,"19/01/2021",19,0.41,1,3,36,39,32
"2763",2873,"30/04/2021",17,0.39,1,2,33,35,69
"6011",7066,"22/10/2021",10,0.47,2,22,22,43,7
"1145",1199,"19/02/2021",23,0.4,12,1,25,27,28
"7028",8165,"07/12/2021",5,0.69,1,38,45,83,2
"1812",1880,"20/03/2021",8,0.75,56,52,40,92,4
"292",300,"13/01/2021",12,0.81,6,22,58,80,32
"1189",1243,"21/02/2021",19,0.68,4,0,33,34,77
"3440",3577,"30/05/2021",1,0.18,1,2,24,27,21
"6009",7064,"22/10/2021",8,0.52,1,29,24,53,2
"357",373,"16/01/2021",13,0.29,7,5,21,27,54
"7018",8155,"06/12/2021",19,0.89,3,8,75,83,45
"2339",2419,"11/04/2021",19,0.12,1,0,13,13,64
"7402",8560,"23/12/2021",16,0.19,2,6,18,24,42
"124",128,"06/01/2021",8,1.36,6,183,42,226,1
"6718",7844,"23/11/2021",20,0.65,1,6,37,44,19
"1680",1744,"14/03/2021",16,0.32,2,0,14,14,91
"7264",8419,"17/12/2021",19,0.26,0,3,30,33,22
"6743",7869,"24/11/2021",21,0.72,2,39,38,77,0
"530",550,"23/01/2021",22,0.69,2,15,49,64,15
"2071",2145,"31/03/2021",9,1.01,2,49,55,104,13
"3496",3637,"01/06/2021",13,0.45,14,3,25,28,85
"3926",4083,"20/06/2021",3,0.17,1,19,14,33,6
"253",261,"11/01/2021",21,0.39,1,10,31,41,6
"529",549,"23/01/2021",21,0.52,2,4,40,44,25
"3605",3746,"06/06/2021",2,0.47,1,1,24,24,23
"3507",3648,"01/06/2021",24,0.1,1,1,10,11,30
"3254",3387,"22/05/2021",3,0.17,2,3,24,27,24
"6054",7112,"24/10/2021",8,0.64,1,37,21,58,2
"6910",8044,"02/12/2021",4,0,0,3,12,15,19
"3200",3329,"19/05/2021",17,0.05,0,0,11,11,58
"6747",7873,"25/11/2021",1,0.39,1,29,34,63,3
"5403",6442,"26/09/2021",10,0.22,5,4,11,15,30
"2069",2143,"31/03/2021",7,0.85,1,38,57,95,3
"565",585,"25/01/2021",9,1.46,4,130,48,178,2
"5205",6239,"17/09/2021",23,0.46,0,7,25,32,13
"1625",1689,"12/03/2021",9,1.39,6,105,52,158,5
"1626",1690,"12/03/2021",10,1.31,7,60,76,136,15
"6578",7701,"17/11/2021",21,0.42,1,4,34,38,31
"7332",8487,"20/12/2021",15,0.48,2,8,39,47,38
"2617",2709,"23/04/2021",21,0.19,1,0,18,18,51
"2833",2947,"03/05/2021",19,0.19,1,0,13,13,46
"1459",1520,"05/03/2021",8,1.59,5,234,52,287,2
"2462",2546,"17/04/2021",2,0.22,0,1,27,28,31
"4254",5274,"08/08/2021",18,0.35,0,5,19,24,33
"5000",6024,"08/09/2021",24,0.2,0,4,19,23,13
"3372",3509,"27/05/2021",5,0.16,1,23,19,42,9
"785",823,"04/02/2021",7,1.31,5,185,43,227,1
"4804",5827,"31/08/2021",19,0.39,0,9,28,37,10
"4250",5270,"08/08/2021",14,0.41,2,1,17,18,87
"1221",1275,"23/02/2021",3,0.22,9,9,23,31,14
"3419",3556,"29/05/2021",4,0.26,1,3,22,25,25
"388",404,"17/01/2021",20,0.42,1,10,26,36,4
"6613",7736,"19/11/2021",8,0.36,1,21,31,53,3
"6560",7683,"17/11/2021",3,0.14,1,5,34,38,12
"5273",6307,"20/09/2021",19,0.31,0,4,21,25,24
"3195",3324,"19/05/2021",12,0.32,0,2,21,23,75
"1174",1228,"21/02/2021",4,0.53,3,12,38,50,6
"3087",3216,"14/05/2021",24,0.12,0,5,15,20,15
"7072",8209,"09/12/2021",1,0.22,1,10,41,51,21
"1284",1341,"25/02/2021",21,0.38,4,1,24,25,42
"13",13,"01/01/2021",13,0.21,1,1,12,13,71
"5802",6853,"13/10/2021",13,0.42,1,3,23,26,74
"2740",2850,"29/04/2021",18,0.37,1,0,39,39,87
"3207",3340,"20/05/2021",4,0.11,3,15,31,46,20
"2158",2235,"04/04/2021",3,0.19,29,5,32,37,3
"4072",4233,"26/06/2021",9,0.23,1,13,16,28,21
"6072",7130,"25/10/2021",2,0.4,1,39,24,63,2
"38",42,"02/01/2021",18,0.44,1,1,29,30,63
"15",15,"01/01/2021",15,0.07,1,1,7,8,57
"7218",8370,"15/12/2021",18,0.58,5,5,56,61,51
"7398",8556,"23/12/2021",12,0.91,4,26,63,90,35
"6111",7169,"26/10/2021",17,0.1,0,3,10,13,29
"4190",5206,"05/08/2021",22,0.2,0,3,16,19,18
"4726",5749,"28/08/2021",13,0.28,0,6,10,16,19
"3603",3744,"05/06/2021",24,0.42,1,4,24,28,24
"2859",2973,"04/05/2021",21,0.31,1,0,22,21,54
"7054",8191,"08/12/2021",7,1.36,4,240,48,288,0
"7195",8347,"14/12/2021",19,1.19,4,17,78,94,18
"796",834,"04/02/2021",18,0.34,2,3,26,29,54
"1556",1620,"09/03/2021",12,0.87,11,16,54,70,51
"3658",3803,"08/06/2021",11,0.51,2,9,38,47,56
"5413",6452,"26/09/2021",20,0.27,1,2,21,23,22
"5899",6954,"17/10/2021",18,0.34,1,7,20,27,18
"7341",8496,"20/12/2021",24,0.55,1,42,28,69,0
"2549",2641,"21/04/2021",1,0.36,12,7,30,37,26
"5791",6842,"13/10/2021",2,0.52,2,81,26,107,2
"173",181,"08/01/2021",13,0.19,4,4,17,20,54
"4613",5636,"23/08/2021",20,0.25,0,3,19,22,20
"3766",3911,"12/06/2021",23,0.21,0,3,17,20,14
"3341",3474,"25/05/2021",18,0.31,2,1,23,23,54
"3183",3312,"18/05/2021",24,0.52,1,22,49,71,14
"4516",5539,"19/08/2021",19,0.21,0,4,15,20,27
"496",516,"22/01/2021",12,0.21,2,5,20,25,47
"161",165,"07/01/2021",21,0.29,62,3,30,32,30
"4682",5705,"26/08/2021",17,0.23,1,5,16,22,23
"4914",5938,"05/09/2021",10,0.38,9,10,17,27,19
"6827",7961,"28/11/2021",17,0.25,4,2,18,20,91
"1940",2011,"25/03/2021",19,0.41,0,1,28,29,55
"923",965,"10/02/2021",5,0.37,3,5,32,37,7
"696",730,"31/01/2021",10,0.87,10,26,46,72,22
"1780",1848,"18/03/2021",24,0.26,2,2,24,27,22
"2765",2875,"30/04/2021",19,0.31,3,4,36,40,37
